sample	kind	channel	note	velocity
0	on	10	36	110
2880	off	10	36	0
24000	on	10	37	85
26880	off	10	37	0
48000	on	10	37	85
50880	off	10	37	0
72000	on	10	37	85
74880	off	10	37	0
96000	on	10	36	110
98880	off	10	36	0
120000	on	10	37	85
122880	off	10	37	0
144000	on	10	37	85
146880	off	10	37	0
168000	on	10	37	85
170880	off	10	37	0
192000	on	10	36	110
194880	off	10	36	0
216000	on	10	37	85
218880	off	10	37	0
240000	on	10	37	85
242880	off	10	37	0
264000	on	10	37	85
266880	off	10	37	0
288000	on	10	36	110
290880	off	10	36	0
312000	on	10	37	85
314880	off	10	37	0
336000	on	10	37	85
338880	off	10	37	0
360000	on	10	37	85
362880	off	10	37	0
384000	on	10	36	110
386880	off	10	36	0
408000	on	10	37	85
410880	off	10	37	0
432000	on	10	37	85
434880	off	10	37	0
456000	on	10	37	85
458880	off	10	37	0
479744	off	10	36	0
479744	off	10	37	0
479860	on	10	36	115
480000	on	2	36	74
480024	on	10	53	85
485860	off	10	36	0
486000	on	2	36	74
486000	off	2	36	0
486024	off	10	53	0
491881	on	10	42	68
491999	on	2	36	74
492000	off	2	36	0
497881	off	10	42	0
497999	off	2	36	0
498000	on	2	36	74
503913	on	10	38	114
504000	on	2	36	74
504000	off	2	36	0
509913	off	10	38	0
509999	on	2	36	74
510000	off	2	36	0
515874	on	10	42	73
515999	on	2	36	74
515999	off	2	36	0
521874	off	10	42	0
521999	on	2	36	74
521999	off	2	36	0
527966	on	10	36	111
527999	off	2	36	0
528000	on	2	36	74
533966	off	10	36	0
534000	on	2	36	74
534000	off	2	36	0
539976	on	10	42	81
540000	on	2	36	74
540000	off	2	36	0
545976	off	10	42	0
545999	on	2	36	74
546000	off	2	36	0
551936	on	10	38	116
551999	on	2	36	74
551999	off	2	36	0
557936	off	10	38	0
557999	on	2	36	74
557999	off	2	36	0
563999	on	2	36	74
563999	off	2	36	0
564223	on	10	42	88
569999	off	2	36	0
570000	on	2	36	74
570223	off	10	42	0
576000	on	2	36	74
576000	on	10	36	115
576000	off	2	36	0
581999	on	2	36	74
582000	off	2	36	0
582000	off	10	36	0
587794	on	10	46	88
587999	off	2	36	0
588000	on	2	36	74
594000	on	2	36	74
594000	off	2	36	0
599999	on	2	36	74
600000	off	2	36	0
600032	on	10	38	114
605999	on	2	36	74
605999	off	2	36	0
